"Dosis","Fecha inmunización","Personas vacunadas por día","Total de personas vacunadas a la fecha"
"2 dosis","07/04/2021","138.276","4.347.094"
"2 dosis","06/04/2021","146.520","4.208.818"
"2 dosis","05/04/2021","204.740","4.062.298"
"2 dosis","04/04/2021","461","3.857.558"
"2 dosis","03/04/2021","1.345","3.857.097"
"2 dosis","02/04/2021","5.179","3.855.752"
"2 dosis","01/04/2021","168.457","3.850.573"
"2 dosis","31/03/2021","153.149","3.682.116"
"2 dosis","30/03/2021","144.578","3.528.967"
"2 dosis","29/03/2021","115.476","3.384.389"
"2 dosis","28/03/2021","423","3.268.913"
"2 dosis","27/03/2021","2.748","3.268.490"
"2 dosis","26/03/2021","51.084","3.265.742"
"2 dosis","25/03/2021","55.196","3.214.658"
"2 dosis","24/03/2021","64.776","3.159.462"
"2 dosis","23/03/2021","90.549","3.094.686"
"2 dosis","22/03/2021","121.940","3.004.137"
"2 dosis","21/03/2021","1.176","2.882.197"
"2 dosis","20/03/2021","10.987","2.881.021"
"2 dosis","19/03/2021","154.726","2.870.034"
"2 dosis","18/03/2021","186.096","2.715.308"
"2 dosis","17/03/2021","216.010","2.529.212"
"2 dosis","16/03/2021","243.564","2.313.202"
"2 dosis","15/03/2021","272.401","2.069.638"
"2 dosis","14/03/2021","3.836","1.797.237"
"2 dosis","13/03/2021","26.158","1.793.401"
"2 dosis","12/03/2021","223.076","1.767.243"
"2 dosis","11/03/2021","245.593","1.544.167"
"2 dosis","10/03/2021","265.503","1.298.574"
"2 dosis","09/03/2021","237.490","1.033.071"
"2 dosis","08/03/2021","213.982","795.581"
"2 dosis","07/03/2021","6.894","581.599"
"2 dosis","06/03/2021","24.131","574.705"
"2 dosis","05/03/2021","161.571","550.574"
"2 dosis","04/03/2021","165.802","389.003"
"2 dosis","03/03/2021","154.053","223.201"
"2 dosis","02/03/2021","12.414","69.148"
"2 dosis","01/03/2021","409","56.734"
"2 dosis","28/02/2021",".","."
"2 dosis","27/02/2021","4","56.325"
"2 dosis","26/02/2021","118","56.321"
"2 dosis","25/02/2021","144","56.203"
"2 dosis","24/02/2021","173","56.059"
"2 dosis","23/02/2021","40","55.886"
"2 dosis","22/02/2021","22","55.846"
"2 dosis","21/02/2021",".","."
"2 dosis","20/02/2021",".","."
"2 dosis","19/02/2021",".","."
"2 dosis","18/02/2021","1","55.824"
"2 dosis","17/02/2021",".","."
"2 dosis","16/02/2021","11","55.823"
"2 dosis","15/02/2021",".","."
"2 dosis","14/02/2021",".","."
"2 dosis","13/02/2021","33","55.812"
